HARD:,2,3,4,5,6,7,8,9,T,A
4,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,H,DH,DH,DH,DH,H,H,H,H,H
10,DH,DH,DH,DH,DH,DH,DH,DH,H,H
11,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,RH,RH
16,S,S,S,S,S,H,H,RH,RH,RH
17,S,S,S,S,S,S,S,S,S,RH
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
SOFT:,2,3,4,5,6,7,8,9,T,A
13,H,H,H,DH,DH,H,H,H,H,H
14,H,H,H,DH,DH,H,H,H,H,H
15,H,H,DH,DH,DH,H,H,H,H,H
16,H,H,DH,DH,DH,H,H,H,H,H
17,H,DH,DH,DH,DH,H,H,H,H,H
18,DS,DS,DS,DS,DS,S,S,H,H,H
19,S,S,S,S,DS,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
SPLITS:,2,3,4,5,6,7,8,9,T,A
2,PH,PH,P,P,P,P,H,H,H,H
3,PH,PH,P,P,P,P,H,H,H,H
4,H,H,H,PH,PH,H,H,H,H,H
5,DH,DH,DH,DH,DH,DH,DH,DH,H,H
6,PH,P,P,P,P,H,H,H,H,H
7,P,P,P,P,P,P,H,H,H,H
8,P,P,P,P,P,P,P,P,P,P
9,P,P,P,P,P,P,P,P,P,P
T,S,S,S,S,S,S,S,S,S,S
A,P,P,P,P,P,P,P,P,P,P
